yearsReviews,sentimiento,item_name
2013,5,Battlefield: Bad Company 2
2014,29,Battlefield: Bad Company 2
2015,11,Battlefield: Bad Company 2
2011,6,Mass Effect 2
2012,4,Mass Effect 2
2013,10,Mass Effect 2
2014,6,Mass Effect 2
2015,4,Mass Effect 2
2012,4,Overgrowth
2013,6,Overgrowth
2014,20,Overgrowth
2015,5,Overgrowth
2011,2,Lugaru HD 
2015,0,Lugaru HD 
2013,2,Cricket Revolution
2010,0,Madballs in...Babo: Invasion
2011,2,Europa Universalis III
2012,2,Europa Universalis III
2014,0,Knights of Honor
2015,2,Knights of Honor
2012,0,Hearts of Iron III
2013,3,Hearts of Iron III
2014,9,Hearts of Iron III
2015,4,Hearts of Iron III
2010,2,King's Bounty: The Legend
2015,2,Supreme Ruler 2020: Gold
2013,0,Majesty 2
2015,2,Majesty: Gold Edition
2011,4,Cogs
2011,4,Braid
2012,2,Braid
2014,2,Braid
2015,4,Braid
2011,2,Crayon Physics Deluxe
2013,1,The Graveyard
2015,1,The Graveyard
2014,0,Kane & Lynch 2: Dog Days
2015,2,Kane & Lynch 2: Dog Days
2011,2,Deus Ex: Human Revolution
2012,6,Deus Ex: Human Revolution
2013,5,Deus Ex: Human Revolution
2010,2,Osmos
2014,1,Osmos
2012,2,Caster
2015,13,Caster
2010,2,Sam & Max 301: The Penal Zone
2014,4,Sam & Max 301: The Penal Zone
2012,2,Puzzle Agent
2013,2,Puzzle Agent
2014,2,Puzzle Agent
2015,0,Puzzle Agent
2011,2,Poker Night at the Inventory
2012,12,Poker Night at the Inventory
2013,12,Poker Night at the Inventory
2014,26,Poker Night at the Inventory
2015,10,Poker Night at the Inventory
2012,4,Back to the Future: Ep 1 - It's About Time
2013,2,Back to the Future: Ep 1 - It's About Time
2014,3,Back to the Future: Ep 1 - It's About Time
2015,2,Back to the Future: Ep 1 - It's About Time
2011,2,Zombie Driver
2012,2,Iron Grip: Warlord
2014,1,Nancy Drew: Legend of the Crystal Skull 
2014,2,Nancy Drew: The White Wolf of Icicle Creek
2013,2,Metal Drift
2012,2,LEGOⓇ Indiana Jones™: The Original Adventures
2012,2,Loom
2012,0,STAR WARS™ Starfighter™
2012,2,The Secret of Monkey Island: Special Edition
2013,4,The Secret of Monkey Island: Special Edition
2010,2,STAR WARS™: Knights of the Old Republic™
2011,1,STAR WARS™: Knights of the Old Republic™
2012,7,STAR WARS™: Knights of the Old Republic™
2013,4,STAR WARS™: Knights of the Old Republic™
2014,10,STAR WARS™: Knights of the Old Republic™
2015,12,STAR WARS™: Knights of the Old Republic™
2014,2,STAR WARS™ Jedi Knight: Dark Forces II
2015,2,STAR WARS™ Jedi Knight: Dark Forces II
2012,2,STAR WARS™: Dark Forces
2014,2,STAR WARS™: Dark Forces
2015,6,STAR WARS™: Dark Forces
2012,0,STAR WARS™: The Clone Wars - Republic Heroes™
2014,2,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition
2015,3,STAR WARS™: The Force Unleashed™ Ultimate Sith Edition
2011,2,LEGO® Star Wars™: The Complete Saga
2012,8,LEGO® Star Wars™: The Complete Saga
2013,2,LEGO® Star Wars™: The Complete Saga
2014,2,LEGO® Star Wars™: The Complete Saga
2012,2,STAR WARS™ Empire at War: Gold Pack
2014,4,STAR WARS™ Empire at War: Gold Pack
2015,2,STAR WARS™ Empire at War: Gold Pack
2011,2,STAR WARS™: The Force Unleashed™ II
2012,3,STAR WARS™: The Force Unleashed™ II
2013,2,STAR WARS™: The Force Unleashed™ II
2014,2,STAR WARS™: The Force Unleashed™ II
2015,1,Delta Force 2
2015,2,Joint Operations: Combined Arms
2012,11,The Lord of the Rings: War in the North
2013,8,The Lord of the Rings: War in the North
2014,4,The Lord of the Rings: War in the North
2015,2,The Lord of the Rings: War in the North
2012,0,Alien Shooter
2012,2,Dawn of Discovery
2011,2,Tom Clancy's Splinter Cell: Conviction
2012,1,Tom Clancy's Splinter Cell: Conviction
2014,2,Tom Clancy's Splinter Cell: Conviction
2012,4,Assassin's Creed II
2013,6,Assassin's Creed II
2014,28,Assassin's Creed II
2015,9,Assassin's Creed II
2012,2,James Cameron’s Avatar™: The Game
2013,4,Driver San Francisco
2014,12,Driver San Francisco
2011,2,From Dust
2012,3,From Dust
2014,2,From Dust
2015,2,Disciples III: Renaissance
2010,2,Eversion 
2013,2,Eversion 
2014,2,Eversion 
2012,2,18 Wheels of Steel: Extreme Trucker
2013,4,Arma 2
2014,6,Arma 2
2011,4,Arma 2: Operation Arrowhead
2012,31,Arma 2: Operation Arrowhead
2013,33,Arma 2: Operation Arrowhead
2014,54,Arma 2: Operation Arrowhead
2015,24,Arma 2: Operation Arrowhead
2013,2,Alpha Protocol
2014,1,Alpha Protocol
2015,8,Alpha Protocol
2011,2,Napoleon: Total War
2012,4,Napoleon: Total War
2013,3,Napoleon: Total War
2014,19,Napoleon: Total War
2015,3,Napoleon: Total War
2011,10,Total War: SHOGUN 2
2012,16,Total War: SHOGUN 2
2013,20,Total War: SHOGUN 2
2014,30,Total War: SHOGUN 2
2015,24,Total War: SHOGUN 2
2011,0,Order of War: Challenge
2011,0,Sniper: Ghost Warrior
2014,3,Sniper: Ghost Warrior
2015,2,Sniper: Ghost Warrior
2013,4,Sniper Ghost Warrior 2
2014,6,Sniper Ghost Warrior 2
2015,2,Sniper Ghost Warrior 2
2012,25,Bad Rats
2013,6,Bad Rats
2014,26,Bad Rats
2015,57,Bad Rats
2012,12,Batman: Arkham Asylum GOTY Edition
2013,11,Batman: Arkham Asylum GOTY Edition
2014,13,Batman: Arkham Asylum GOTY Edition
2015,18,Batman: Arkham Asylum GOTY Edition
2013,2,Killing Floor Mod: Defence Alliance 2
2015,2,Killing Floor Mod: Defence Alliance 2
2011,6,Rising Storm/Red Orchestra 2 Multiplayer
2012,25,Rising Storm/Red Orchestra 2 Multiplayer
2013,35,Rising Storm/Red Orchestra 2 Multiplayer
2014,55,Rising Storm/Red Orchestra 2 Multiplayer
2015,24,Rising Storm/Red Orchestra 2 Multiplayer
2011,2,Dwarfs!?
2012,2,Dwarfs!?
2013,4,Dwarfs!?
2014,0,Dwarfs!?
2015,1,Dwarfs!?
2011,2,Trine
2012,4,Trine
2013,2,Trine
2014,2,Trine
2015,4,Trine
2012,2,Trine 2
2013,16,Trine 2
2014,23,Trine 2
2015,8,Trine 2
2011,2,Foreign Legion: Buckets of Blood
2012,2,Westward
2014,6,Forsaken World 
2011,2,Rusty Hearts
2015,2,The Void
2014,1,"Time Gentlemen, Please!"
2014,2,Windosill
2014,2,Roogoo
2015,0,Roogoo
2012,2,Horrid Henry
2012,2,Fallout
2013,0,Fallout
2014,4,Fallout
2015,2,Fallout
2012,2,Fallout 2
2014,3,Fallout 2
2015,5,Fallout 2
2013,0,Fallout Tactics
2015,2,Fallout Tactics
2014,2,Sacrifice
2013,2,MDK 2
2011,2,Faerie Solitaire
2013,4,Faerie Solitaire
2014,4,Faerie Solitaire
2015,2,Faerie Solitaire
2014,3,Toki Tori
2015,2,Toki Tori
2013,4,RUSH
2015,2,RUSH
2013,4,EDGE
2014,2,EDGE
2011,0,CrimeCraft GangWars
2012,2,CrimeCraft GangWars
2013,4,CrimeCraft GangWars
2014,2,CrimeCraft GangWars
2013,2,Rhythm Zone
2014,2,Rhythm Zone
2012,1,Moonbase Alpha
2013,7,Moonbase Alpha
2014,26,Moonbase Alpha
2015,19,Moonbase Alpha
2011,6,RIFT
2013,21,RIFT
2014,19,RIFT
2015,5,RIFT
2013,12,FINAL FANTASY VII
2014,16,FINAL FANTASY VII
2015,12,FINAL FANTASY VII
2012,2,FINAL FANTASY VIII
2013,6,FINAL FANTASY VIII
2014,7,FINAL FANTASY VIII
2015,4,FINAL FANTASY VIII
2012,2,Dungeon Siege III
2013,2,Dungeon Siege III
2015,2,Dungeon Siege
2012,2,Dungeon Siege 2
2012,10,FINAL FANTASY XIV: A Realm Reborn
2014,3,FINAL FANTASY XIV: A Realm Reborn
2015,8,FINAL FANTASY XIV: A Realm Reborn
2013,2,Gothic II: Gold Edition
2014,1,Gothic II: Gold Edition
2014,2,Chaser
2015,2,Chaser
2010,1,ArcaniA
2012,2,Nation Red
2013,3,Nation Red
2014,4,Nation Red
2015,1,Nation Red
2010,0,Supreme Commander 2
2011,2,Supreme Commander 2
2012,8,Supreme Commander 2
2013,2,Supreme Commander 2
2014,9,Supreme Commander 2
2015,8,Supreme Commander 2
2015,1,Secret Files: Tunguska
2012,2,Risen 2 - Dark Waters
2014,2,Risen 2 - Dark Waters
2014,4,AI War: Fleet Command
2015,2,AI War: Fleet Command
2010,1,Machinarium
2012,2,Machinarium
2013,3,Machinarium
2014,2,Machinarium
2015,4,Machinarium
2010,1,Super Meat Boy
2011,8,Super Meat Boy
2012,10,Super Meat Boy
2013,16,Super Meat Boy
2014,30,Super Meat Boy
2015,25,Super Meat Boy
2012,4,The Misadventures of P.B. Winterbottom
2014,2,Stronghold HD
2014,6,Stronghold Crusader HD
2015,2,Stronghold Crusader HD
2012,2,Serious Sam HD: The First Encounter
2013,2,Serious Sam HD: The First Encounter
2014,4,Serious Sam HD: The First Encounter
2014,2,Serious Sam Classic: The First Encounter
2013,1,Serious Sam Classic: The Second Encounter
2011,2,Serious Sam 3: BFE
2012,5,Serious Sam 3: BFE
2013,13,Serious Sam 3: BFE
2014,6,Serious Sam 3: BFE
2015,7,Serious Sam 3: BFE
2012,2,Hammerfight
2014,3,Hammerfight
2011,6,Altitude
2012,2,Altitude
2014,3,Altitude
2015,2,Altitude
2011,0,Torchlight
2012,4,Torchlight
2013,8,Torchlight
2014,1,Torchlight
2011,1,Earthworm Jim 3D
2012,5,S.T.A.L.K.E.R.: Call of Pripyat
2013,2,S.T.A.L.K.E.R.: Call of Pripyat
2014,4,S.T.A.L.K.E.R.: Call of Pripyat
2015,6,S.T.A.L.K.E.R.: Call of Pripyat
2013,2,Cargo! - The quest for gravity
2014,2,Cargo! - The quest for gravity
2011,1,Gratuitous Space Battles
2012,2,Gratuitous Space Battles
2013,2,Gratuitous Space Battles
2015,4,Gratuitous Space Battles
2013,2,Hamilton's Great Adventure
2012,0,War of the Roses
2013,9,War of the Roses
2014,21,War of the Roses
2015,5,War of the Roses
2013,1,Krater
2012,2,Transformers: War for Cybertron
2012,25,Call of Duty: Modern Warfare 3
2013,16,Call of Duty: Modern Warfare 3
2014,19,Call of Duty: Modern Warfare 3
2015,22,Call of Duty: Modern Warfare 3
2011,6,Call of Duty: Black Ops
2012,5,Call of Duty: Black Ops
2013,4,Call of Duty: Black Ops
2014,24,Call of Duty: Black Ops
2015,14,Call of Duty: Black Ops
2014,2,Sword of the Stars Complete Collection
2011,11,Magicka
2012,8,Magicka
2013,25,Magicka
2014,55,Magicka
2015,19,Magicka
2011,2,Victoria II
2014,8,Victoria II
2015,2,Victoria II
2012,2,Front Mission Evolved
2011,6,Metro 2033
2012,9,Metro 2033
2013,12,Metro 2033
2014,18,Metro 2033
2015,5,Metro 2033
2013,24,Metro: Last Light
2014,47,Metro: Last Light
2015,0,Galcon Fusion
2011,2,F1 2010™
2012,2,DiRT 3
2013,5,DiRT 3
2014,5,DiRT 3
2015,2,DiRT 3
2012,2,GRID 2
2013,9,GRID 2
2014,19,GRID 2
2015,5,GRID 2
2010,2,Sol Survivor
2014,1,Sol Survivor
2012,0,Secret of the Magic Crystal
2013,5,Secret of the Magic Crystal
2014,6,Secret of the Magic Crystal
2011,2,Wings of Prey
2014,2,Wings of Prey
2013,2,Fortix
2014,0,Fortix
2013,0,Devil May Cry 4
2014,5,Devil May Cry 4
2015,3,Devil May Cry 4
2011,0,Dark Void
2013,2,Dead Rising 2
2014,4,Dead Rising 2
2015,2,Dead Rising 2
2014,2,Lost Planet 2
2012,4,Ultra Street Fighter IV
2013,4,Ultra Street Fighter IV
2014,16,Ultra Street Fighter IV
2015,6,Ultra Street Fighter IV
2014,2,Dead Rising 2: Off the Record
2015,0,Dead Rising 2: Off the Record
2015,2,Star Wolves 3: Civil War
2012,2,Star Wolves 2
2014,2,Future Wars
2014,0,Trapped Dead
2015,2,Making History II: The War of the World
2013,0,Stronghold 3
2015,4,Stronghold 3
2012,2,Stronghold Kingdoms
2013,8,Stronghold Kingdoms
2014,9,Stronghold Kingdoms
2015,6,Stronghold Kingdoms
2011,2,Command and Conquer 4: Tiberian Twilight
2012,2,Dead Space 2
2013,2,Dead Space 2
2014,0,Dead Space 2
2015,0,Dead Space 2
2012,1,Medal of Honor(TM) Single Player
2013,6,Medal of Honor(TM) Single Player
2014,5,Medal of Honor(TM) Single Player
2015,2,Medal of Honor(TM) Single Player
2012,2,RISK Factions
2012,4,Dragon Age: Origins - Ultimate Edition
2013,4,Dragon Age: Origins - Ultimate Edition
2014,16,Dragon Age: Origins - Ultimate Edition
2015,1,Dragon Age: Origins - Ultimate Edition
2012,6,Need for Speed: Hot Pursuit
2013,2,Need for Speed: Hot Pursuit
2014,8,Need for Speed: Hot Pursuit
2015,3,Need for Speed: Hot Pursuit
2012,10,The Sims(TM) 3
2013,5,The Sims(TM) 3
2014,12,The Sims(TM) 3
2015,0,The Sims(TM) 3
2012,2,Shift 2 Unleashed
2014,2,Shift 2 Unleashed
2015,0,Shift 2 Unleashed
2012,18,LIMBO
2013,21,LIMBO
2014,11,LIMBO
2015,6,LIMBO
2014,1,Silent Hunter 5: Battle of the Atlantic
2011,2,Assassin's Creed Brotherhood
2012,2,Assassin's Creed Brotherhood
2014,12,Assassin's Creed Brotherhood
2012,2,Might & Magic: Heroes VI
2012,2,Anno 2070
2013,4,Anno 2070
2014,13,Anno 2070
2015,4,Anno 2070
2010,2,Mount & Blade: Warband
2011,4,Mount & Blade: Warband
2012,45,Mount & Blade: Warband
2013,48,Mount & Blade: Warband
2014,131,Mount & Blade: Warband
2015,82,Mount & Blade: Warband
2011,1,Mount & Blade: With Fire and Sword
2012,3,Mount & Blade: With Fire and Sword
2013,6,Mount & Blade: With Fire and Sword
2014,5,Mount & Blade: With Fire and Sword
2015,2,Mount & Blade: With Fire and Sword
2014,1,Ship Simulator Extremes
2015,2,Ship Simulator Extremes
2011,0,Greed Corp
2011,2,Magic: The Gathering - Duels of the Planeswalkers
2014,4,Magic: The Gathering — Duels of the Planeswalkers 2012
2012,95,Borderlands 2
2013,152,Borderlands 2
2014,494,Borderlands 2
2015,149,Borderlands 2
2013,4,Aliens: Colonial Marines
2014,1,Aliens: Colonial Marines
2015,1,Aliens: Colonial Marines
2011,6,Beat Hazard
2012,4,Beat Hazard
2013,6,Beat Hazard
2014,10,Beat Hazard
2015,6,Beat Hazard
2011,3,Mafia II
2012,7,Mafia II
2013,13,Mafia II
2014,20,Mafia II
2015,19,Mafia II
2012,8,Spec Ops: The Line
2013,28,Spec Ops: The Line
2014,36,Spec Ops: The Line
2015,46,Spec Ops: The Line
2011,2,Burn Zombie Burn
2012,2,Darksiders
2013,4,Darksiders
2014,2,Darksiders
2015,4,Darksiders
2013,10,Darksiders II
2014,3,Darksiders II
2015,4,Darksiders II
2012,14,Tactical Intervention
2013,31,Tactical Intervention
2014,58,Tactical Intervention
2015,34,Tactical Intervention
2011,4,Atom Zombie Smasher 
2012,2,Atom Zombie Smasher 
2012,2,Homefront
2013,0,Homefront
2014,6,Homefront
2015,4,Homefront
2012,2,Red Faction: Armageddon
2014,6,Red Faction: Armageddon
2012,2,MX vs. ATV Reflex
2013,6,MX vs. ATV Reflex
2014,6,MX vs. ATV Reflex
2015,2,MX vs. ATV Reflex
2011,4,"Warhammer 40,000 Space Marine"
2012,7,"Warhammer 40,000 Space Marine"
2013,2,"Warhammer 40,000 Space Marine"
2014,1,"Warhammer 40,000 Space Marine"
2015,4,"Warhammer 40,000 Space Marine"
2011,2,Saints Row: The Third
2012,16,Saints Row: The Third
2013,73,Saints Row: The Third
2014,87,Saints Row: The Third
2015,51,Saints Row: The Third
2011,2,Saints Row: The Third - Initiation Station
2012,2,Saints Row: The Third - Initiation Station
2014,2,Saints Row: The Third - Initiation Station
2011,4,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
2012,11,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
2013,6,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
2014,27,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
2015,4,"Warhammer® 40,000™: Dawn of War® II – Retribution™"
2011,2,NyxQuest
2010,1,Amnesia: The Dark Descent
2011,0,Amnesia: The Dark Descent
2012,8,Amnesia: The Dark Descent
2013,8,Amnesia: The Dark Descent
2014,18,Amnesia: The Dark Descent
2015,7,Amnesia: The Dark Descent
2011,0,Batman: Arkham City™
2012,2,Tropico 3: Absolute Power
2014,2,Tropico 3: Absolute Power
2012,2,Broken Sword 1 - Shadow of the Templars: Director's Cut
2014,2,Broken Sword 1 - Shadow of the Templars: Director's Cut
2014,2,The First Templar
2012,12,Tropico 4
2013,4,Tropico 4
2014,21,Tropico 4
2015,9,Tropico 4
2013,0,Jagged Alliance - Back in Action
2011,4,Duke Nukem Forever
2013,2,Duke Nukem Forever
2014,10,Duke Nukem Forever
2011,2,Jolly Rover
2015,2,MacGuffin's Curse
2014,0,Blood Bowl: Legendary Edition
2010,2,Divinity II - The Dragon Knight Saga
2013,4,Wargame: European Escalation
2014,1,Wargame: European Escalation
2015,2,Wargame: European Escalation
2014,2,Numen: Contest of Heroes
2013,0,Lucid
2013,2,Fractal: Make Blooms Not War
2011,2,Age of Wonders
2011,2,Zen Bound® 2
2013,2,Zen Bound® 2
2014,2,Zen Bound® 2
2014,2,Critter Crunch
2011,2,Flight Control HD
2010,2,Chime
2014,1,Chime
2011,3,Monday Night Combat
2013,1,Monday Night Combat
2012,7,Sniper Elite V2
2013,6,Sniper Elite V2
2014,67,Sniper Elite V2
2015,17,Sniper Elite V2
2011,2,Swords and Soldiers HD
2012,2,Swords and Soldiers HD
2015,2,Swords and Soldiers HD
2014,2,Riven
2013,2,BIT.TRIP BEAT
2011,4,BIT.TRIP RUNNER
2013,4,BIT.TRIP RUNNER
2014,10,BIT.TRIP RUNNER
2015,6,BIT.TRIP RUNNER
2011,2,Fantasy Wars
2012,4,Men of War: Assault Squad
2013,1,Men of War: Assault Squad
2014,9,Men of War: Assault Squad
2015,2,Men of War: Assault Squad
2012,2,Dustforce
2013,2,Dustforce
2014,4,Dustforce
2015,3,Dustforce
2013,0,Painkiller: Redemption
2014,1,Take On Helicopters
2014,2,Carrier Command: Gaea Mission
2015,2,Arma: Gold Edition
2012,6,Arma: Cold War Assault
2014,7,Arma: Cold War Assault
2011,2,Dungeon Defenders
2012,14,Dungeon Defenders
2013,15,Dungeon Defenders
2014,22,Dungeon Defenders
2015,17,Dungeon Defenders
2012,6,The Bureau: XCOM Declassified
2013,0,The Bureau: XCOM Declassified
2014,10,The Bureau: XCOM Declassified
2015,2,The Bureau: XCOM Declassified
2012,5,Sid Meier's Civilization: Beyond Earth
2014,18,Sid Meier's Civilization: Beyond Earth
2015,24,Sid Meier's Civilization: Beyond Earth
2012,6,The Darkness II
2013,6,The Darkness II
2014,12,The Darkness II
2015,10,The Darkness II
2012,10,Dino D-Day
2013,27,Dino D-Day
2014,30,Dino D-Day
2015,11,Dino D-Day
2014,2,Hacker Evolution
2015,2,Hacker Evolution
2011,2,VVVVVV
2012,4,VVVVVV
2013,2,VVVVVV
2014,10,VVVVVV
2015,4,VVVVVV
2010,2,Recettear: An Item Shop's Tale
2012,2,Recettear: An Item Shop's Tale
2013,1,Recettear: An Item Shop's Tale
2014,9,Recettear: An Item Shop's Tale
2015,8,Recettear: An Item Shop's Tale
2014,2,Worms Ultimate Mayhem
2014,2,Worms Crazy Golf
2014,0,Worms
2012,2,Evochron Mercenary
2014,5,Crazy Taxi
2015,2,Crazy Taxi
2014,2,Sonic Adventure DX
2015,0,Sonic Adventure DX
2012,2,Football Manager 2012
2011,0,Sonic Generations
2012,6,Sonic Generations
2014,2,Sonic Generations
2015,5,Sonic Generations
2014,2,Virtua Tennis 4
2012,4,Closure
2013,2,Closure
2012,4,Universe Sandbox
2013,2,Universe Sandbox
2014,7,Universe Sandbox
2015,2,Universe Sandbox
2011,20,The Elder Scrolls V: Skyrim
2012,162,The Elder Scrolls V: Skyrim
2013,221,The Elder Scrolls V: Skyrim
2014,388,The Elder Scrolls V: Skyrim
2015,242,The Elder Scrolls V: Skyrim
2015,4,Winter Voices
2012,2,Cities in Motion
2012,2,Majesty 2 Collection
2013,2,Majesty 2 Collection
2012,2,Darkest Hour: A Hearts of Iron Game
2013,2,Darkest Hour: A Hearts of Iron Game
2014,0,Darkest Hour: A Hearts of Iron Game
2011,2,Sengoku
2014,2,Supreme Ruler Cold War
2014,1,Bejeweled 3
2011,2,APOX
2015,2,Gemini Rue
2011,0,Anomaly Warzone Earth
2011,6,Dead Island
2012,15,Dead Island
2013,21,Dead Island
2014,30,Dead Island
2015,13,Dead Island
2012,0,Iron Front : Liberation 1944
2013,2,Iron Front : Liberation 1944
2014,15,Sanctum
2011,2,E.Y.E: Divine Cybermancy
2012,7,E.Y.E: Divine Cybermancy
2013,1,E.Y.E: Divine Cybermancy
2014,6,E.Y.E: Divine Cybermancy
2015,3,E.Y.E: Divine Cybermancy
2015,2,Cloning Clyde
2012,2,Post Apocalyptic Mayhem
2013,1,Post Apocalyptic Mayhem
2014,3,Post Apocalyptic Mayhem
2015,1,Post Apocalyptic Mayhem
2014,0,Hydrophobia: Prophecy
2015,2,Hydrophobia: Prophecy
2012,2,DETOUR
2015,2,DETOUR
2011,2,A.R.E.S.
2014,1,A.R.E.S.
2011,4,SpaceChem
2012,4,SpaceChem
2013,1,SpaceChem
2014,6,SpaceChem
2011,2,Revenge of the Titans
2015,2,Revenge of the Titans
2012,2,Dinner Date
2013,2,Dinner Date
2014,4,Dinner Date
2011,2,Jamestown
2013,2,Jamestown
2015,2,Jamestown
2015,2,The Dream Machine
2012,7,Nidhogg
2014,14,Nidhogg
2015,14,Nidhogg
2014,2,Puzzle Agent 2
2015,0,Puzzle Agent 2
2013,2,Capsized
2012,2,ibb & obb
2014,1,ibb & obb
2015,8,ibb & obb
2012,2,The Cat and the Coup
2014,4,The Tiny Bang Story
2014,13,Defy Gravity
2015,5,Defy Gravity
2012,2,Ravaged Zombie Apocalypse
2013,3,Ravaged Zombie Apocalypse
2012,4,Shoot Many Robots
2013,2,Nexuiz
2012,2,Solar 2
2013,4,Solar 2
2014,6,Solar 2
2011,2,Section 8: Prejudice
2012,2,Section 8: Prejudice
2013,0,Section 8: Prejudice
2012,0,Magic: The Gathering - Duels of the Planeswalkers 2013
2013,1,Magic: The Gathering - Duels of the Planeswalkers 2013
2014,2,Magic: The Gathering - Duels of the Planeswalkers 2013
2011,4,Frozen Synapse
2013,0,Frozen Synapse
2014,12,Frozen Synapse
2015,2,Frozen Synapse
2012,2,Toy Soldiers
2011,0,Hard Reset
2012,0,Hard Reset
2013,4,Hard Reset
2014,4,Hard Reset
2015,1,Hard Reset
2013,2,Naval Warfare
2012,2,"Demolition, Inc."
2014,1,"Demolition, Inc."
2011,2,Dungeons of Dredmor
2012,0,Dungeons of Dredmor
2014,6,Dungeons of Dredmor
2012,3,Renegade Ops
2014,2,Renegade Ops
2011,4,NightSky
2014,2,NightSky
2013,4,Bulletstorm
2014,4,Bulletstorm
2015,2,Bulletstorm
2011,10,Spiral Knights
2012,28,Spiral Knights
2013,56,Spiral Knights
2014,102,Spiral Knights
2015,29,Spiral Knights
2011,2,Puzzle Pirates
2012,2,Puzzle Pirates
2015,2,Puzzle Pirates
2012,4,Kingdoms of Amalur: Reckoning™
2013,2,Kingdoms of Amalur: Reckoning™
2014,13,Kingdoms of Amalur: Reckoning™
2015,9,Kingdoms of Amalur: Reckoning™
2011,3,Orcs Must Die!
2012,2,Orcs Must Die!
2013,2,Orcs Must Die!
2014,2,Orcs Must Die!
2013,2,A.V.A - Alliance of Valiant Arms
2015,4,A.V.A - Alliance of Valiant Arms
2013,3,Shank 2
2015,2,Shank 2
2012,2,WARP
2013,2,iBomber Defense
2012,2,BEEP
2015,0,BEEP
2013,2,Portal 2 - The Final Hours
2015,2,Portal 2 - The Final Hours
2012,13,Super Monday Night Combat
2013,18,Super Monday Night Combat
2014,15,Super Monday Night Combat
2015,9,Super Monday Night Combat
2012,15,ORION: Prelude
2013,4,ORION: Prelude
2014,108,ORION: Prelude
2015,51,ORION: Prelude
2013,2,Critical Mass
2014,0,Critical Mass
2011,4,Fable III
2013,2,Fable III
2014,2,Ms. Splosion Man
2012,8,Age of Empires Online
2013,2,Age of Empires Online
2012,11,Age of Empires® III: Complete Collection
2013,8,Age of Empires® III: Complete Collection
2014,25,Age of Empires® III: Complete Collection
2015,13,Age of Empires® III: Complete Collection
2011,37,Terraria
2012,145,Terraria
2013,245,Terraria
2014,406,Terraria
2015,344,Terraria
2012,1,Tobe's Vertical Adventure
2014,1,PixelJunk Eden
2011,13,Bastion
2012,25,Bastion
2013,32,Bastion
2014,54,Bastion
2015,17,Bastion
2011,2,Space Pirates and Zombies
2012,1,Space Pirates and Zombies
2013,2,Space Pirates and Zombies
2014,4,Space Pirates and Zombies
2011,2,Breath of Death VII 
2011,2,Cthulhu Saves the World 
2012,3,Cthulhu Saves the World 
2014,2,Cthulhu Saves the World 
2015,0,Cthulhu Saves the World 
2012,75,Arma 3
2013,37,Arma 3
2014,136,Arma 3
2015,123,Arma 3
2012,1,Waves
2014,2,Waves
2012,2,Rochard
2013,4,Rochard
2014,2,Rochard
2011,2,War Inc. Battlezone
2012,4,War Inc. Battlezone
2013,2,War Inc. Battlezone
2014,5,War Inc. Battlezone
2015,2,Ticket to Ride
2015,2,Vessel
2012,2,Project Zomboid
2013,5,Project Zomboid
2014,51,Project Zomboid
2015,10,Project Zomboid
2012,11,Alan Wake
2013,15,Alan Wake
2014,11,Alan Wake
2015,2,Alan Wake
2012,5,Crysis 2 Maximum Edition
2013,4,Crysis 2 Maximum Edition
2014,12,Crysis 2 Maximum Edition
2012,6,MicroVolts Surge
2013,12,MicroVolts Surge
2014,13,MicroVolts Surge
2015,11,MicroVolts Surge
2013,1,Brawl Busters
2012,5,Neverwinter
2013,29,Neverwinter
2014,26,Neverwinter
2015,22,Neverwinter
2015,2,inMomentum
2012,1,L.A. Noire
2013,8,L.A. Noire
2014,4,L.A. Noire
2015,10,L.A. Noire
2012,0,Snuggle Truck
2015,0,Bunch Of Heroes
2014,2,Serious Sam Double D XXL
2015,0,Serious Sam Double D XXL
2011,2,Blocks That Matter
2014,2,Blocks That Matter
2014,0,Guardians of Middle-earth
2013,12,Monaco
2014,45,Monaco
2015,9,Monaco
2011,2,The Binding of Isaac
2012,19,The Binding of Isaac
2013,63,The Binding of Isaac
2014,173,The Binding of Isaac
2015,23,The Binding of Isaac
2011,4,APB Reloaded
2012,24,APB Reloaded
2013,27,APB Reloaded
2014,61,APB Reloaded
2015,37,APB Reloaded
2012,6,Fallen Earth
2013,9,Fallen Earth
2014,17,Fallen Earth
2015,2,Fallen Earth
2012,2,Costume Quest
2014,2,Costume Quest
2015,2,Costume Quest
2014,2,Stacking
2014,2,PROTOTYPE 2
2015,2,PROTOTYPE 2
2012,6,Quantum Conundrum
2014,1,Quantum Conundrum
2014,0,Naval War: Arctic Circle
2014,2,Battle Chess: Game of Kings™
2012,1,Worms Revolution
2013,4,Worms Revolution
2014,7,Worms Revolution
2015,4,Worms Revolution
2012,85,Realm of the Mad God
2013,39,Realm of the Mad God
2014,128,Realm of the Mad God
2015,48,Realm of the Mad God
2014,2,Off-Road Drive
2012,9,Batman: Arkham City GOTY
2013,37,Batman: Arkham City GOTY
2014,50,Batman: Arkham City GOTY
2015,27,Batman: Arkham City GOTY
2012,21,XCOM: Enemy Unknown
2013,34,XCOM: Enemy Unknown
